CustomerID,Total_Spending,Total_Orders,Avg_Order_Value,Total_Items,Unique_Products,Total_Transactions
12346.0,0.0,2,0.0,0,1,2
12347.0,3981.15,7,568.7357142857143,2427,100,175
12348.0,1437.24,4,359.31,2332,21,27
12349.0,1089.15,1,1089.15,595,60,60
12350.0,294.4,1,294.4,196,16,16
12352.0,1010.61,8,126.32625,437,49,73
12353.0,29.300000000000004,1,29.300000000000004,14,2,2
12354.0,845.25,1,845.25,507,44,44
12355.0,414.0,1,414.0,236,11,11
12356.0,1911.4,2,955.7,1516,48,50
12357.0,5195.87,1,5195.87,2605,116,116
12358.0,892.26,2,446.13,238,10,15
12359.0,3203.38,6,533.8966666666666,1432,158,179
12360.0,1866.56,3,622.1866666666666,1124,98,118
12361.0,174.9,1,174.9,90,9,9
12362.0,4128.7300000000005,13,317.5946153846154,2131,176,235
12364.0,1186.2,4,296.55,1497,68,80
12365.0,307.94,1,307.94,172,20,20
12367.0,150.9,1,150.9,172,10,10
12370.0,3228.39,4,807.0975,2328,138,162
12371.0,1441.16,1,1441.16,574,60,60
12372.0,1116.54,3,372.18,778,32,47
12373.0,324.6,1,324.6,196,13,13
12374.0,531.73,1,531.73,331,29,29
12375.0,343.62,3,114.54,171,12,15
12377.0,1472.52,2,736.26,934,69,74
12378.0,3569.92,1,3569.92,2485,198,198
12379.0,775.29,3,258.43,401,38,39
12380.0,2190.96,5,438.192,1093,74,97
12381.0,1235.51,6,205.91833333333332,753,64,79
12383.0,1371.71,6,228.61833333333334,1490,75,84
12384.0,277.16,3,92.38666666666667,103,17,19
12386.0,401.9,2,200.95,354,10,10
12388.0,2713.76,6,452.29333333333335,1456,56,99
12390.0,431.14,1,431.14,344,27,27
12391.0,433.99,1,433.99,298,90,98
12393.0,1582.6000000000001,4,395.65000000000003,816,47,64
12394.0,1060.58,2,530.29,806,24,24
12395.0,2374.18,15,158.27866666666665,2070,81,136
12397.0,1757.45,2,878.725,1211,98,111
12398.0,1387.96,1,1387.96,1383,83,83
12399.0,1033.65,4,258.4125,1173,46,55
12401.0,32.85,1,32.85,7,2,2
12402.0,195.6,1,195.6,92,10,10
12403.0,391.7,1,391.7,94,4,4
12405.0,1229.19,1,1229.19,829,49,49
12406.0,3235.9,2,1617.95,1806,89,102
12407.0,1375.77,5,275.154,1390,51,67
12408.0,2399.13,8,299.89125,1366,75,103
12409.0,9251.33,7,1321.6185714285714,5375,79,99
12410.0,270.48,2,135.24,176,14,15
12412.0,1142.88,3,380.96000000000004,824,42,58
12413.0,545.2,3,181.73333333333335,268,23,31
12414.0,442.41,3,147.47,297,15,15
12415.0,112716.28,24,4696.511666666666,76164,420,738
12417.0,2247.65,11,204.3318181818182,1432,128,146
12418.0,432.08,1,432.08,379,26,26
12420.0,410.54,1,410.54,326,22,22
12421.0,625.52,5,125.104,476,31,41
12422.0,645.3100000000001,3,215.10333333333335,364,37,37
12423.0,1525.41,9,169.49,1303,90,112
12424.0,1760.96,2,880.48,740,30,30
12425.0,734.7,1,734.7,492,34,34
12426.0,446.08,1,446.08,247,25,25
12427.0,417.97,5,83.59400000000001,209,22,26
12428.0,5172.5,11,470.22727272727275,3351,230,261
12429.0,2866.6,4,716.65,1480,71,84
12430.0,168.6,1,168.6,112,9,9
12431.0,5574.6900000000005,18,309.70500000000004,2775,145,206
12432.0,3247.7200000000003,4,811.9300000000001,1694,90,91
12433.0,12871.67,7,1838.81,11019,205,401
12434.0,593.84,4,148.46,352,40,42
12435.0,3650.1400000000003,2,1825.0700000000002,1588,19,22
12436.0,429.01000000000005,1,429.01000000000005,209,15,15
12437.0,3321.16,18,184.5088888888889,2791,107,159
12438.0,1793.8,2,896.9,1090,73,82
12441.0,155.55,1,155.55,120,10,10
12442.0,144.06,1,144.06,181,11,11
12444.0,2382.56,5,476.512,980,111,127
12445.0,77.4,1,77.4,60,3,3
12446.0,734.36,1,734.36,327,46,46
12447.0,379.78999999999996,1,379.78999999999996,181,22,22
12448.0,283.95,1,283.95,237,19,19
12449.0,2733.84,4,683.46,1422,104,157
12450.0,197.88,2,98.94,128,7,8
12451.0,8035.07,6,1339.1783333333333,6375,246,331
12452.0,285.67,2,142.835,173,19,20
12453.0,707.09,1,707.09,473,43,43
12454.0,-5.684341886080802e-14,2,-2.842170943040401e-14,0,12,24
12455.0,2271.86,5,454.372,2076,83,84
12456.0,1977.69,4,494.4225,1541,91,112
12457.0,1390.08,10,139.00799999999998,671,48,58
12458.0,736.4,2,368.2,496,32,34
12461.0,419.08,1,419.08,256,29,29
12462.0,649.56,4,162.39,482,40,54
12463.0,1124.18,7,160.59714285714287,746,63,80
12464.0,76.5,4,19.125,30,1,4
12465.0,653.99,3,217.99666666666667,469,44,48
12468.0,593.89,3,197.96333333333334,355,33,36
12471.0,11511.52,41,280.76878048780486,7407,141,467
12472.0,5269.08,13,405.31384615384616,3952,215,364
12473.0,2422.27,4,605.5675,2336,134,163
12474.0,6217.0199999999995,28,222.03642857142856,4708,242,419
12475.0,621.68,1,621.68,526,34,34
12476.0,3855.88,18,214.21555555555557,2122,143,195
12477.0,9376.41,9,1041.8233333333333,3217,166,251
12478.0,479.59000000000003,1,479.59000000000003,225,32,32
12479.0,376.45,3,125.48333333333333,343,28,32
12480.0,2711.78,4,677.945,1668,122,141
12481.0,4260.96,11,387.36,3195,137,189
12483.0,1873.13,11,170.28454545454545,1084,45,72
12484.0,3437.92,5,687.5840000000001,2118,234,320
12488.0,1011.5600000000001,3,337.18666666666667,508,41,48
12489.0,191.43,1,191.43,93,10,10
12490.0,4717.43,10,471.74300000000005,3017,126,229
12491.0,397.55,1,397.55,255,23,24
12492.0,227.21,2,113.605,190,18,18
12493.0,362.79,2,181.395,203,17,19
12494.0,931.6500000000001,10,93.165,676,59,68
12497.0,953.1,1,953.1,1231,13,13
12498.0,349.70000000000005,3,116.56666666666668,156,20,21
12500.0,3329.42,13,256.10923076923075,2594,30,48
12501.0,1816.23,2,908.115,1701,141,152
12502.0,1552.1200000000001,5,310.42400000000004,654,73,92
12504.0,60.0,1,60.0,48,2,2
12505.0,-4.5,1,-4.5,-1,1,1
12506.0,57.6,1,57.6,21,21,21
12507.0,980.56,4,245.14,883,17,20
12508.0,398.27,2,199.135,272,57,69
12509.0,124.5,1,124.5,50,5,5
12510.0,782.77,2,391.385,343,28,30
12512.0,130.07999999999998,2,65.03999999999999,98,30,33
12513.0,494.53999999999996,2,247.26999999999998,450,33,34
12514.0,779.68,1,779.68,416,44,44
12515.0,190.8,1,190.8,120,11,11
12516.0,1186.06,2,593.03,868,19,24
12517.0,2160.14,5,432.02799999999996,1323,221,272
12518.0,1750.09,5,350.018,1296,80,114
12519.0,252.84,1,252.84,176,15,16
12520.0,2046.26,6,341.04333333333335,1391,113,137
